Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
12.359581333,1,1,0,1,1,1,1,1
12.359581375,1,1,0,0,0,1,1,1
12.359581417,1,0,0,0,0,1,1,1
12.359582292,1,1,0,1,0,1,1,1
12.359582333,1,1,1,1,1,1,1,1
12.359583833,1,1,0,1,1,1,1,1
12.359583875,1,1,0,1,0,1,1,1
12.359583917,1,0,0,0,0,1,1,1
12.359584708,1,1,0,0,0,1,1,1
12.359584750,1,1,1,1,1,1,1,1
12.359585750,1,1,0,0,1,0,1,1
12.359585875,1,0,0,0,1,0,1,1
12.359588750,1,1,0,0,1,0,1,1
12.359588833,1,1,0,1,1,0,1,1
12.359588875,1,1,1,1,1,1,1,1
12.359591083,1,0,0,0,0,1,1,1
12.359592042,1,1,0,1,1,1,1,1
12.359592083,1,1,1,1,1,1,1,1
12.359593500,1,1,0,1,1,1,1,1
12.359593542,1,1,0,0,0,1,1,1
12.359593583,1,0,0,0,0,1,1,1
12.359594625,1,1,0,0,0,1,1,1
12.359594667,1,1,0,1,1,1,1,1
12.359594708,1,1,1,1,1,1,1,1
12.359595958,1,1,0,0,0,1,1,1
12.359596000,1,0,0,0,0,1,1,1
12.359597125,1,1,0,0,0,1,1,1
12.359597167,1,1,0,1,1,1,1,1
12.359597208,1,1,1,1,1,1,1,1
12.359610667,1,1,0,1,1,0,1,1
12.359610708,1,0,0,0,1,0,1,1
12.359615292,1,1,0,0,1,0,1,1
12.359615458,1,1,0,1,1,0,1,1
12.359615500,1,1,1,1,1,1,1,1
12.359617458,1,1,0,1,1,1,1,1
12.359617500,1,0,0,0,0,1,1,1
12.359618542,1,1,0,1,1,1,1,1
12.359618583,1,1,1,1,1,1,1,1
12.359622833,1,1,0,1,1,1,1,1
12.359623000,1,1,1,1,1,1,1,1
12.359642667,1,1,0,0,0,1,1,1
12.359642708,1,0,0,0,0,1,1,1
12.359643708,1,1,0,1,1,1,1,1
12.359643750,1,1,1,1,1,1,1,1
12.359652750,1,1,0,1,1,1,1,1
12.359652792,1,0,0,0,0,1,1,1
12.359653417,1,1,0,1,1,1,1,1
12.359653458,1,1,1,1,1,1,1,1
12.359655167,1,1,0,1,1,1,1,1
12.359655250,1,1,0,0,0,1,1,1
12.359655292,1,0,0,0,0,1,1,1
12.359655875,1,1,1,1,1,1,1,1
12.359681667,1,0,0,0,0,1,1,1
12.359681792,1,1,1,1,1,1,1,1
12.359697625,1,1,0,1,1,1,1,1
